calling_file,referenced_path,resolved_absolute_path,status
./frontend/node_modules/next/dist/esm/client/components/router-reducer/reducers/server-action-reducer.js,react-server-dom-webpack/client,OK,OK
./frontend/node_modules/next/dist/esm/client/components/app-router.js,./dev-root-not-found-boundary,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/components/app-router.js,./react-dev-overlay/hot-reloader-client,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/components/navigation.js,./bailout-to-client-rendering,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-next-dev.js,./app-index,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-next-dev-turbopack.js,./app-index,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./components/react-dev-overlay/hot-reloader-client,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./components/react-dev-overlay/internal/helpers/hydration-error-info,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./components/react-dev-overlay/internal/ReactDevOverlay,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./components/react-dev-overlay/internal/error-overlay-reducer,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./components/react-dev-overlay/internal/helpers/get-socket-url,MISSING,MISSING
./frontend/node_modules/next/dist/esm/client/app-index.js,./app-link-gc,MISSING,MISSING
./frontend/node_modules/next/dist/server/crypto-utils.js,crypto,OK,OK
./frontend/node_modules/next/dist/server/node-environment.js,async_hooks,OK,OK
./frontend/node_modules/next/dist/server/web-server.js,./api-utils/web,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./base-server,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./lib/etag,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./request-meta,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./response-cache/web,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,../lib/is-api-route,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,../shared/lib/router/utils/remove-trailing-slash,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,../shared/lib/router/utils,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./server-utils,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,../shared/lib/router/utils/route-regex,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,../shared/lib/router/utils/route-matcher,MISSING,MISSING
./frontend/node_modules/next/dist/server/web-server.js,./lib/incremental-cache,MISSING,MISSING
./frontend/node_modules/next/dist/server/stream-utils/node-web-streams-helper.js,../lib/trace/tracer,MISSING,MISSING
./frontend/node_modules/next/dist/server/stream-utils/node-web-streams-helper.js,../lib/trace/constants,MISSING,MISSING
./frontend/node_modules/next/dist/server/stream-utils/node-web-streams-helper.js,./encode-decode,MISSING,MISSING
./frontend/node_modules/next/dist/server/stream-utils/node-web-streams-helper.js,../../lib/detached-promise,MISSING,MISSING
./frontend/node_modules/next/dist/server/stream-utils/node-web-streams-helper.js,../../lib/scheduler,MISSING,MISSING
./frontend/node_modules/next/dist/server/get-route-from-entrypoint.js,./get-app-route-from-entrypoint,MISSING,MISSING
./frontend/node_modules/next/dist/server/get-route-from-entrypoint.js,./match-bundle,MISSING,MISSING
./frontend/node_modules/next/dist/server/send-response.js,./pipe-readable,MISSING,MISSING
./frontend/node_modules/next/dist/server/send-response.js,./web/utils,MISSING,MISSING
./frontend/node_modules/next/dist/server/config-utils.js,next/dist/compiled/webpack/webpack,OK,OK
./frontend/node_modules/next/dist/server/load-manifest.js,fs,OK,OK
