Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Change Information,Unnamed: 10,Unnamed: 11,Unnamed: 12
BMS ID of Linked GDM Global/Regional Attribute,GDD Name of Linked GDM Global/Regional Attribute,GDD Name of Technical Attribute,Technical Attribute is Conditional/ Optional,BMS ID,GDD Name,Attribute Definition (GDD),short xPath,GDSN Technical Attribute,Change Type,WR Number,Detailed Change Information,Release Version
1506,gradeCodeReference,@codeListVersion,Optional,1513,gradeCodeReference/@codeListVersion,The snapshot of the code list at a certain point in time.,marketingInformationModule/marketingInformation/gradeCodeReference/@codeListVersion,YES,nan,nan,nan,nan
1530,tradeItemKeyWords,@languageCode,Conditional,1531,tradeItemKeyWords/@languageCode,A code representing the language used in the description.,marketingInformationModule/marketingInformation/tradeItemKeyWords/@languageCode,YES,nan,nan,nan,nan
1558,targetConsumerAge,@languageCode,Conditional,1559,targetConsumerAge/@languageCode,A code representing the language used in the description.,marketingInformationModule/marketingInformation/targetConsumer/targetConsumerAge/@languageCode,YES,nan,nan,nan,nan
1623,nonfoodIngredientStatement,@languageCode,Conditional,1624,nonfoodIngredientStatement/@languageCode,A code representing the language used in the description.,nonfoodIngredientModule/nonfoodIngredientStatement/@languageCode,YES,nan,nan,nan,nan
1623,nonfoodIngredientStatement,@codeListVersion,Optional,1625,nonfoodIngredientStatement/@codeListVersion,The snapshot of the code list at a certain point in time.,nonfoodIngredientModule/nonfoodIngredientStatement/@codeListVersion,YES,nan,nan,nan,nan
1623,nonfoodIngredientStatement,@formattingPattern,Optional,1626,nonfoodIngredientStatement/@formattingPattern,Ingredient statement for non-food items.,nonfoodIngredientModule/nonfoodIngredientStatement/@formattingPattern,YES,nan,nan,nan,nan
1623,nonfoodIngredientStatement,@sequenceNumber,Conditional,1627,nonfoodIngredientStatement/@sequenceNumber,A number used to indicate the order in which the allowances or charges are to be calculated.,nonfoodIngredientModule/nonfoodIngredientStatement/@sequenceNumber,YES,nan,nan,nan,nan
1664,depth,@measurementUnitCode,Conditional,1665,depth/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nonGTINLogisticsUnitInformationModule/nonGTINLogisticsUnitInformation/depth/@measurementUnitCode,YES,nan,nan,nan,nan
1666,grossWeight,@measurementUnitCode,Conditional,1667,grossWeight/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nonGTINLogisticsUnitInformationModule/nonGTINLogisticsUnitInformation/grossWeight/@measurementUnitCode,YES,nan,nan,nan,nan
1668,height,@measurementUnitCode,Conditional,1669,height/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nonGTINLogisticsUnitInformationModule/nonGTINLogisticsUnitInformation/height/@measurementUnitCode,YES,nan,nan,nan,nan
1671,width,@measurementUnitCode,Conditional,1672,width/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nonGTINLogisticsUnitInformationModule/nonGTINLogisticsUnitInformation/width/@measurementUnitCode,YES,nan,nan,nan,nan
1682,nutritionalClaim,@languageCode,Conditional,1683,nutritionalClaim/@languageCode,A code representing the language used in the description.,nutritionalInformationModule/nutritionalClaim/@languageCode,YES,nan,nan,nan,nan
1712,dailyValueIntakeReference,@languageCode,Conditional,1713,dailyValueIntakeReference/@languageCode,A code representing the language used in the description.,nutritionalInformationModule/nutrientHeader/dailyValueIntakeReference/@languageCode,YES,nan,nan,nan,nan
1714,nutrientBasisQuantity,@measurementUnitCode,Conditional,1715,nutrientBasisQuantity/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nutritionalInformationModule/nutrientHeader/nutrientBasisQuantity/@measurementUnitCode,YES,nan,nan,nan,nan
1718,servingSize,@measurementUnitCode,Conditional,1719,servingSize/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nutritionalInformationModule/nutrientHeader/servingSize/@measurementUnitCode,YES,nan,nan,nan,nan
1720,servingSizeDescription,@languageCode,Conditional,1721,servingSizeDescription/@languageCode,A code representing the language used in the description.,nutritionalInformationModule/nutrientHeader/servingSizeDescription/@languageCode,YES,nan,nan,nan,nan
1734,quantityContained,@measurementUnitCode,Conditional,1735,quantityContained/@measurementUnitCode,"Any standardized, reproducible unit that can be used to measure any physical property.",nutritionalInformationModule/nutrientHeader/nutrientDetail/quantityContained/@measurementUnitCode,YES,nan,nan,nan,nan
2261,returnablePackageDepositAmount,@currencyCode,Conditional,2262,returnablePackageDepositAmount/@currencyCode,A code representing the currency of a particular country or group of countries.,packagingInformationModule/packaging/packageDeposit/returnablePackageDepositAmount/@currencyCode,YES,nan,nan,nan,nan
2263,returnablePackageDepositIdentification,@identificationSchemeAgencyCode,Optional,2264,returnablePackageDepositIdentification/@identificationSchemeAgencyCode,The identification of the agency that maintains the identification scheme.,packagingInformationModule/packaging/packageDeposit/returnablePackageDepositIdentification/@identificationSchemeAgencyCode,YES,nan,nan,nan,nan
2263,returnablePackageDepositIdentification,@identificationSchemeAgencyCodeCodeListVersion,Optional,2265,returnablePackageDepositIdentification/@identificationSchemeAgencyCodeCodeListVersion,The version of the code list of agency code lists.,packagingInformationModule/packaging/packageDeposit/returnablePackageDepositIdentification/@identificationSchemeAgencyCodeCodeListVersion,YES,nan,nan,nan,nan
2263,returnablePackageDepositIdentification,@identificationSchemeAgencyName,Optional,2266,returnablePackageDepositIdentification/@identificationSchemeAgencyName,The name of the agency that maintains the identification scheme.,packagingInformationModule/packaging/packageDeposit/returnablePackageDepositIdentification/@identificationSchemeAgencyName,YES,nan,nan,nan,nan
2263,returnablePackageDepositIdentification,@identificationSchemeName,Optional,2267,returnablePackageDepositIdentification/@identificationSchemeName,The name of the identification scheme.,packagingInformationModule/packaging/packageDeposit/returnablePackageDepositIdentification/@identificationSchemeName,YES,nan,nan,nan,nan
2781,countryOfOriginStatement,@languagecode,Conditional,2782,countryOfOriginStatement/@languageCode,A code representing the language used in the description.,placeOfItemActivityModule/placeOfProductActivity/countryOfOriginStatement/@languagecode,YES,nan,nan,nan,nan
2783,provenanceStatement,@languageCode,Conditional,2784,provenanceStatement/@languageCode,A code representing the language used in the description.,placeOfItemActivityModule/placeOfProductActivity/provenanceStatement/@languageCode,YES,nan,nan,nan,nan
3241,hazardStatementsDescription,@languageCode,Conditional,3242,hazardStatementsDescription/@languageCode,A code representing the language used in the description.,safetyDataSheetModule/safetyDataSheetInformation/gHSDetail/hazardStatement/hazardStatementsDescription/@languageCode,YES,nan,nan,nan,nan
3245,precautionaryStatementsDescription,@languageCode,Conditional,3246,precautionaryStatementsDescription/@languageCode,A code representing the language used in the description.,safetyDataSheetModule/safetyDataSheetInformation/gHSDetail/precautionaryStatement/precautionaryStatementsDescription/@languageCode,YES,nan,nan,nan,nan
